class_name,class_id
data/esc10/audio/crackling_fire/4-171207-A-12.wav,2
data/esc10/audio/chainsaw/1-116765-A-41.wav,0
data/esc10/audio/rooster/5-234879-B-1.wav,7
data/esc10/audio/crying_baby/3-151081-A-20.wav,3
data/esc10/audio/crying_baby/4-185575-B-20.wav,3
data/esc10/audio/crackling_fire/4-181563-A-12.wav,2
data/esc10/audio/clock_tick/1-42139-A-38.wav,1
data/esc10/audio/clock_tick/3-170377-A-38.wav,1
data/esc10/audio/helicopter/5-177957-E-40.wav,5
data/esc10/audio/helicopter/4-161579-A-40.wav,5
data/esc10/audio/sneezing/4-157297-A-21.wav,9
data/esc10/audio/dog/1-100032-A-0.wav,4
data/esc10/audio/helicopter/2-188822-D-40.wav,5
data/esc10/audio/helicopter/2-37806-B-40.wav,5
data/esc10/audio/chainsaw/5-185579-A-41.wav,0
data/esc10/audio/crackling_fire/3-158476-A-12.wav,2
data/esc10/audio/crackling_fire/4-170247-B-12.wav,2
data/esc10/audio/rain/3-140774-A-10.wav,6
data/esc10/audio/clock_tick/4-175945-A-38.wav,1
data/esc10/audio/clock_tick/4-194711-A-38.wav,1
data/esc10/audio/rooster/5-200334-B-1.wav,7
data/esc10/audio/helicopter/5-177957-A-40.wav,5
data/esc10/audio/crying_baby/1-187207-A-20.wav,3
data/esc10/audio/crying_baby/3-152007-B-20.wav,3
data/esc10/audio/clock_tick/3-143933-A-38.wav,1
data/esc10/audio/rain/2-73260-A-10.wav,6
data/esc10/audio/crying_baby/3-151081-B-20.wav,3
data/esc10/audio/clock_tick/5-235671-A-38.wav,1
data/esc10/audio/rooster/4-164064-B-1.wav,7
data/esc10/audio/chainsaw/3-118972-B-41.wav,0
data/esc10/audio/sneezing/3-144692-A-21.wav,9
data/esc10/audio/dog/4-191687-A-0.wav,4
data/esc10/audio/crackling_fire/1-17808-B-12.wav,2
data/esc10/audio/crying_baby/4-167077-B-20.wav,3
data/esc10/audio/rooster/1-34119-B-1.wav,7
data/esc10/audio/sneezing/3-143119-A-21.wav,9
data/esc10/audio/clock_tick/1-21935-A-38.wav,1
data/esc10/audio/sea_waves/1-28135-B-11.wav,8
data/esc10/audio/sneezing/2-119102-A-21.wav,9
data/esc10/audio/crackling_fire/3-157187-A-12.wav,2
data/esc10/audio/rain/3-142006-A-10.wav,6
data/esc10/audio/rain/1-21189-A-10.wav,6
data/esc10/audio/dog/4-207124-A-0.wav,4
data/esc10/audio/dog/1-97392-A-0.wav,4
data/esc10/audio/sneezing/5-220026-A-21.wav,9
data/esc10/audio/rain/4-160999-A-10.wav,6
data/esc10/audio/sneezing/3-150231-A-21.wav,9
data/esc10/audio/dog/1-110389-A-0.wav,4
data/esc10/audio/rooster/1-39923-A-1.wav,7
data/esc10/audio/clock_tick/3-164688-A-38.wav,1
data/esc10/audio/helicopter/5-205898-A-40.wav,5
data/esc10/audio/crying_baby/5-151085-A-20.wav,3
data/esc10/audio/rooster/3-116135-A-1.wav,7
data/esc10/audio/crying_baby/1-60997-B-20.wav,3
data/esc10/audio/sneezing/3-141684-A-21.wav,9
data/esc10/audio/chainsaw/1-19898-C-41.wav,0
data/esc10/audio/helicopter/2-37806-C-40.wav,5
data/esc10/audio/rooster/2-95258-A-1.wav,7
data/esc10/audio/helicopter/4-175000-C-40.wav,5
data/esc10/audio/crying_baby/4-167077-C-20.wav,3
data/esc10/audio/crying_baby/2-50666-A-20.wav,3
data/esc10/audio/clock_tick/3-171041-A-38.wav,1
data/esc10/audio/chainsaw/3-118658-B-41.wav,0
data/esc10/audio/rain/5-188655-A-10.wav,6
data/esc10/audio/clock_tick/4-181865-A-38.wav,1
data/esc10/audio/rain/3-143929-A-10.wav,6
data/esc10/audio/crying_baby/5-198411-E-20.wav,3
data/esc10/audio/dog/3-136288-A-0.wav,4
data/esc10/audio/rain/5-193339-A-10.wav,6
data/esc10/audio/clock_tick/2-131943-A-38.wav,1
data/esc10/audio/rain/5-195710-A-10.wav,6
data/esc10/audio/sneezing/1-47273-A-21.wav,9
data/esc10/audio/dog/5-203128-A-0.wav,4
data/esc10/audio/clock_tick/1-62850-A-38.wav,1
data/esc10/audio/rooster/1-43382-A-1.wav,7
data/esc10/audio/rooster/5-234879-A-1.wav,7
data/esc10/audio/chainsaw/1-64398-A-41.wav,0
data/esc10/audio/dog/3-157695-A-0.wav,4
data/esc10/audio/rooster/1-40730-A-1.wav,7
data/esc10/audio/dog/3-163459-A-0.wav,4
data/esc10/audio/clock_tick/5-209698-A-38.wav,1
data/esc10/audio/crying_baby/2-66637-A-20.wav,3
data/esc10/audio/helicopter/5-191131-A-40.wav,5
data/esc10/audio/crying_baby/5-198411-C-20.wav,3
data/esc10/audio/sea_waves/1-91359-B-11.wav,8
data/esc10/audio/helicopter/1-172649-F-40.wav,5
data/esc10/audio/clock_tick/3-171012-A-38.wav,1
data/esc10/audio/dog/5-208030-A-0.wav,4
data/esc10/audio/crying_baby/1-211527-A-20.wav,3
data/esc10/audio/sea_waves/3-164630-A-11.wav,8
data/esc10/audio/clock_tick/5-219342-A-38.wav,1
data/esc10/audio/sea_waves/4-167063-B-11.wav,8
data/esc10/audio/crackling_fire/1-17150-A-12.wav,2
data/esc10/audio/crackling_fire/3-120644-A-12.wav,2
data/esc10/audio/clock_tick/3-170383-A-38.wav,1
data/esc10/audio/dog/4-192236-A-0.wav,4
data/esc10/audio/helicopter/1-172649-A-40.wav,5
data/esc10/audio/crackling_fire/5-215658-B-12.wav,2
data/esc10/audio/rooster/5-200334-A-1.wav,7
data/esc10/audio/rain/5-198321-A-10.wav,6
data/esc10/audio/rooster/1-26806-A-1.wav,7
data/esc10/audio/rooster/5-194930-B-1.wav,7
